!!SBtab SBtabVersion="0.8" Document="recon2.v02" TableType="Quantity" TableName="Quantity"				
!Quantity	!SBML:parameter:id	!Value	!Unit	!Description
OBJECTIVE_COEFFICIENT_R_25HVITD3tm	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_25VITD2Hm	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_25VITD2Hm	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_25VITD2Hm	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_25VITD2Hm	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_25VITD3Hm	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_25VITD3Hm	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_25VITD3Hm	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_25VITD3Hm	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2AMACHYD	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_2AMACHYD	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2AMACHYD	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2AMACHYD	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2AMACSULT	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_2AMACSULT	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2AMACSULT	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2AMACSULT	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2AMADPTm	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_2AMADPTm	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2AMADPTm	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2AMADPTm	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2DR1PP	LOWER_BOUND	0.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_2DR1PP	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2DR1PP	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2DR1PP	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2HBO	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
UPPER_BOUND_R_2HBO	UPPER_BOUND	1000.0	mmol_per_gDW_per_hr	local parameter
FLUX_VALUE_R_2HBO	FLUX_VALUE	0.0	mmol_per_gDW_per_hr	local parameter
OBJECTIVE_COEFFICIENT_R_2HBO	OBJECTIVE_COEFFICIENT	0.0	dimensionless	local parameter
LOWER_BOUND_R_2HBt2	LOWER_BOUND	-1000.0	mmol_per_gDW_per_hr	local parameter
