127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.009864
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.009724
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.013848
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001975
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002195
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.003651
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.002129
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.012245
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002110
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002356
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002199
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.002368
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.002084
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.002050
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.002096
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.002279
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.002004
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.002033
127.0.0.1, 2014-01-02 15:37:28, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.002126
127.0.0.1, 2014-01-02 15:37:35, GET, /admin/default/site, HTTP/1.1, 200, 0.083520
127.0.0.1, 2014-01-02 15:37:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
127.0.0.1, 2014-01-02 15:37:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000283
127.0.0.1, 2014-01-02 15:37:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2014-01-02 15:37:38, GET, /SBtab/default/index, HTTP/1.1, 500, 0.820669
