!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compartment' TableName='Compartment'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular	nan		
g	Golgi	nan		
m	Mitochondria	nan		
l	l	nan		
n	Nucleus	nan		
p	periplasm	nan		
r	Endoplasmic reticulum	nan		
x	Glyoxysome	nan		

!!SBtab SBtabVersion='1.0' Document='MODEL1507180055' TableType='Compound' TableName='Compound'
!ID	!Name	!Location	!Charge	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge
M_Rtotal3_c	Rtotal3_c	c	0	False		nan	False		0
M_Rtotal3coa_c	Rtotal3coa_c	c	0	False		nan	False		0
M_Rtotal3crn_c	Rtotal3crn_c	c	0	False		nan	False		0
M_Rtotalcoa_c	Rtotalcoa_c	c	0	False		nan	False		0
M_Rtotalcrn_c	Rtotalcrn_c	c	0	False		nan	False		0
M_Sfglutth_c	Sfglutth_c	c	0	False		nan	False		0
M_T4hcinnm_c	T4hcinnm_c	c	0	False		nan	False		0
M_Tyr__ggn_c	Tyr__ggn_c	c	0	False		nan	False		0
M_aacoa_c	aacoa_c	c	0	False		nan	False		0
M_aact_c	aact_c	c	0	False		nan	False		0
M_abt_c	abt_c	c	0	False		nan	False		0
M_ac_c	ac_c	c	0	False		nan	False		0
M_acACP_c	acACP_c	c	0	False		nan	False		0
M_acac_c	acac_c	c	0	False		nan	False		0
M_acald_c	acald_c	c	0	False		nan	False		0
M_accoa_c	accoa_c	c	0	False		nan	False		0
M_acetol_c	acetol_c	c	0	False		nan	False		0
M_acetone_c	acetone_c	c	0	False		nan	False		0
M_acgagbside_hs_c	acgagbside_hs_c	c	0	False		nan	False		0
M_acgal_c	acgal_c	c	0	False		nan	False		0
M_acgal1p_c	acgal1p_c	c	0	False		nan	False		0
M_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_c	acgalfucgalacgalfuc12gal14acglcgalgluside_hs_c	c	0	False		nan	False		0
M_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_c	acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_c	c	0	False		nan	False		0
M_acgam_c	acgam_c	c	0	False		nan	False		0
M_acgam1p_c	acgam1p_c	c	0	False		nan	False		0
M_acgam6p_c	acgam6p_c	c	0	False		nan	False		0
M_acgbgbside_hs_c	acgbgbside_hs_c	c	0	False		nan	False		0
M_acgpail_hs_c	acgpail_hs_c	c	0	False		nan	False		0
M_ach_c	ach_c	c	0	False		nan	False		0
M_acmana_c	acmana_c	c	0	False		nan	False		0
M_acmanap_c	acmanap_c	c	0	False		nan	False		0
M_acn13acngalgbside_hs_c	acn13acngalgbside_hs_c	c	0	False		nan	False		0
M_acn23acngalgbside_hs_c	acn23acngalgbside_hs_c	c	0	False		nan	False		0
M_acnacngal14acglcgalgluside_hs_c	acnacngal14acglcgalgluside_hs_c	c	0	False		nan	False		0
M_acnacngalgbside_hs_c	acnacngalgbside_hs_c	c	0	False		nan	False		0
M_acnam_c	acnam_c	c	0	False		nan	False		0
M_acnamp_c	acnamp_c	c	0	False		nan	False		0
